__label__2 , 赫斯基 首季 盈利 增胜 预期
__label__3 , 昆明机床 证券 虚假 陈述 被判 偿还 相关 散户 损失
__label__2 , 昆明机床 昆机 股价 异动 属 市场 行为
__label__2 , 昆明机床 委任 林婉玲 香港 接收 法律 程序 文件 通知 授权代表
__label__3 , 昆明机床 杨林 厂区 建设 尚未 完成 延期 租赁 问题 出租方 进行 协商
__label__2 , 昆明机床 丁思 德 担任 公司 董事
__label__3 , 香港交易所 谴责 昆明机床 违反 上市 规则
__label__2 , 昆明机床 拟以 部分 房产 作价 成立 全资 子公司
__label__3 , 昆明机床 第一 大股 质押 股份
__label__3 , 昆明机床 部分 银行帐户 法院 冻结
__label__2 , 昆明机床 月 日止 营收 约 亿 人民币
__label__2 , 昆明机床 内控 顾问 第一阶段 报告 月底 完成
__label__2 , 昆明机床 计划 月 支付 阶段性 费用 尽快 配合 法证 审计 进场 工作
__label__2 , 昆明机床 沈阳 国资委 持有 沈机 集团 股权 转让
__label__2 , 昆明机床 原股 股票 于月 日 全国中小企业 股份 转让 系统 转让
__label__2 , 昆明机床 原股 股票 全国中小企业 股份 转让 系统 挂牌
__label__3 , 昆明机床 中期 归母 净亏损 收窄 亿元
__label__2 , 昆明机床 原股 股份 月 日 全国 股份 转让 系统 进行 股票 转让
__label__2 , 昆明机床 上半年 在手 合同 亿元 继续 停牌
__label__3 , 昆明机床 进入 退市 整理 期 交易 第五次 风险 提示
__label__3 , 昆明机床 退市 风险 提示
__label__3 , 昆明机床 股 进入 退市 整理 期 交易 预计 最后 交易 日期 月 日
__label__3 , 昆明机床 预计 股 退市 整理 期 交易 最后 交易日 月 日
__label__3 , 唐智 海辞任 伟易达 电讯 产品 总裁 陈凯 接任
__label__2 , 伟易达 集团 预期 股东 应 占 溢利 年度 溢利 减少
__label__2 , 大华 继显 伟易达 买入 区间 港元
__label__3 , 伟易达 减持 万股
__label__3 , 伟易达 减持 万股
__label__1 , 伟易达 获 增持 万股
__label__3 , 伟易达 减持 万股
__label__2 , 伟易达 集团 于月 日 派发 中期 股息 每股 港元
__label__3 , 伟易达 减持 万股
__label__3 , 花旗 维持 伟易达 沽售 评级 降 目标价 港元
__label__3 , 小摩 伟易达 目标价 降至 港元 高 成本 拖累 盈利
__label__2 , 大和 降 伟易达 评级 持有 削 目标价 港元
__label__3 , 里昂 伟易达 目标价 降至 港元 维持 跑 输 大市 评级
__label__3 , 中期 股东 应 占 溢利 同比 降 伟易达 跌
__label__3 , 里昂 降 伟易达 目标价 港元 维持 跑 输 大市 评级
__label__2 , 伟易达 受 贸易 摩擦 影响 客户 迁厂 必要 时 加价
__label__3 , 伟易达 集团 中期 股东 应 占 溢利 减少 万美元 每股 派息 美元
__label__2 , 大华 继显 伟易达 首个 目标价 港元
__label__1 , 拟于 月 日派 末期 息 每股 港元
__label__1 , 摩通 降 伟易达 目标价 港元 维持 增持 评级
__label__3 , 花旗 伟易达 业绩 逊 预期 目标价 降 至元
__label__3 , 大行 评级 里昂 降 伟易达 目标价 港元 评级 跑 输 大市
__label__3 , 大行 评级 大和 下调 伟易达 目标价 港元 评级 买入
__label__1 , 伟易达 马来西亚 设厂 分散 中美 贸易战 风险
__label__1 , 伟易达 集团 年度 溢利 上升 亿美元 每股 派息 美元
__label__1 , 小摩 升 伟易达 目标价 至元 评级 增持
__label__3 , 业绩 会 实录 伟易达 美国 玩具反斗城 倒闭 毛利 影响 微
__label__1 , 伟易达 集团 中期 溢利 增长 亿美元 每股 派息 美元
__label__1 , 小摩 升 伟易达 目标价 至元 评级 增持
__label__1 , 提交 破产 保护
__label__3 , 一名 大客户 提交 破产 保护
__label__1 , 伟易达 集团 港元 派付 年 末期 股息 每股 约 港元
__label__2 , 伟易达 涨近 兼 破顶 一个月 累升
__label__1 , 伟易达 涨 逾 兼 破顶 继 周一 再创新高
__label__1 , 伟易达 涨 逾 兼 破顶 三个 月 累涨 逾 三成 半
__label__2 , 神 车新 宝骏 首款 车型 发布 抢先 布局 智能网 联 领域
__label__3 , 五菱汽车 年度 股东 应 占 溢利 降至 万元 每股 派港 仙
__label__2 , 微型车 行业 发展前景
__label__2 , 级 电动车 实现 高 续航 高质量 发展
__label__2 , 月 新能源 乘用车 销量 分析 纯 电动 领域 比亚迪 反超 北汽 新能源
__label__3 , 庞大集团 又现 危局 盈利 王牌 上汽 通用五菱 品牌 授权 取消
__label__2 , 五菱汽车 预期 年度 溢利 大幅 减少
__label__2 , 五菱汽车 附属 斥 万元 印度 厂房 设立 一条 焊接 生产线
__label__2 , 五菱汽车 组合 营拓 汽车 排气 控制系统 产品 业务
__label__2 , 五菱汽车 附属 出资 万元 设 合资 合资 出售 排气 控制系统 资产
__label__3 , 汽车 股 全线 走低 东风集团 跌近 吉利 广汽 均 挫近
__label__3 , 五菱汽车 上半年 净利 同比 下滑 万元
__label__3 , 销量 增长 利润 下滑 五菱 转型 进入 深水 区
__label__1 , 汽车销量 点评 月销量 同比 增长 预计 下半年 温和 增长
__label__2 , 五菱 收购 野马汽车 神车 抱团 取暖 背后 原因
__label__1 , 月 车市 整体 平稳 增长 领克 超过 东本 下滑 凯迪拉克 大涨
__label__1 , 五菱汽车 五菱 工业 斥 万元 美国 车桥 国际 成立 合资 公司
__label__1 , 五菱汽车 股东 应 占 年度 溢利 增加 亿元
__label__2 , 五菱汽车 合资 注入 汽车座椅 资產 尽职 审查 稍延 完成
__label__1 , 五菱汽车 附属 佛吉亚 成立 合资 公司 订立 补充 谅解 备忘录
__label__2 , 五菱汽车 五菱 工业 济南 二 机床 订立 设备 采购 协议
__label__1 , 五菱汽车 附属 佛吉亚 成立 汽车座椅 合资 公司 签署 谅解 备忘录
__label__1 , 五菱汽车 兑换 可换 股票 溢价 发行 亿股 股份
__label__1 , 月 车市 稳 增长 自主 品牌 集体 向上
__label__2 , 冠忠巴士集团 授出 万份 购 股权
__label__3 , 冠忠巴士集团 中期 纯利 万元 跌 股息 仙
__label__3 , 冠忠巴士集团 中期 股东 应 占 溢利 减少 万港元
__label__3 , 冠忠 巴士 料 中期 盈利 按年 下跌 约
__label__2 , 元 香港 澳门 珠海 珠 港澳 大桥 穿梭 巴士 定价
__label__2 , 冠忠 巴士 料 港珠澳 桥 通车 提供 逾班 跨境 巴士
__label__2 , 香港 跨境 巴士 运营商 看好 港珠澳 大桥 商机
__label__3 , 冠忠巴士集团 中期 净利润 同比 减少 亿港元 每股 派息 港仙
__label__1 , 冠忠巴士集团 财年 多赚 末期 息仙
__label__1 , 冠忠 巴士 涨近 半成 再破顶 两日 累涨
__label__1 , 盈喜 冠忠 巴士 料 年度 多赚 约
__label__1 , 辉立 证券 前景 向好 荐 冠忠巴士集团
__label__1 , 冠忠 巴士 发 盈喜 料 半年 录 可观 升幅
__label__3 , 优派能源发展 正 财务 法律顾问 筹备 新 复牌 建议书 继续 停牌
__label__2 , 优派能源发展 正 大部分 主要 债权人 积极 讨论 重组 方案
__label__3 , 优派 能源 主席 张利 合同纠纷 协助 调查
__label__3 , 优派 能源 清盘 呈请 聆讯 延期 月 日
__label__3 , 优派能源发展 百慕达 聆讯 遭 押后
__label__3 , 优派能源发展 主席 张利 表示 拘留 传闻 实 继续 停牌
__label__3 , 徐文龙 辞任 优派能源发展 独立 非 执行 董事 继续 停牌
__label__2 , 优派能源发展 黄山 煤矿 申请 恢复 建设
__label__2 , 优派能源发展 进入 除牌 程序 第三阶段
__label__1 , 优派能源发展 国企 新疆 三矿 开发 签订 谅解 备忘录
__label__3 , 优派能源发展 进入 除牌 第三阶段
__label__1 , 优派能源发展 债权人 申请 搁置 批准 资助 协议 命令 获 驳回
__label__3 , 优派能源发展 股东 提议 罢免 委任 董事
__label__1 , 优派能源发展 现正 制定 债务 重组 方案
__label__1 , 优派 能源 鼎晖投资 代表 债权人 磋商 今复牌
__label__1 , 优派 能源 续 债权人 积极 沟通
__label__1 , 优派 能源 债务 重组 方案 月 定案
__label__3 , 优派 能源 支付 违约 基事会 供股 解困
__label__3 , 优派 能源 亿元 逆市 收购 两 煤矿 指 理智
__label__1 , 优派 能源 斥 亿 收购 山西省 煤矿
__label__2 , 优派 能源 停牌 公布 内幕消息
__label__2 , 优派 能源 停牌 刊发 内幕消息
__label__1 , 黄炳均 增持 优派能源发展 万股 耗资 万 港币
__label__3 , 优派 能源 全年 蚀 亿不派 末期 息
__label__1 , 昊天发展集团 增持 优派能源发展 万股 耗资 万 港币
__label__2 , 香港中旅 蒋洪 加大 粤港澳 大湾区 发展 力度
__label__3 , 香港中旅 年度 股东 应 占 同比 减少 亿港元 派息
__label__2 , 吴强 获任 香港中旅 执董 常务 副总经理
__label__2 , 香港中旅 拟 投资 德天瀑布 旅游 项目
__label__2 , 香港中旅 委任 杨浩 执行 董事
__label__2 , 香港中旅 委任 游 成为 执行 董事
__label__3 , 香港中旅 刘凤波 辞任 执行 董事 副总经理 职务
__label__2 , 香港中旅 正在 推进 旅游 地产 业务 发展
__label__2 , 香港中旅 中期 股东 应 占 溢利 微 增至 亿港元 中期 息 每股 港仙
__label__1 , 香港中旅 年度 股东 应 占 利润 增至 亿港元 每股 派息 港仙
__label__1 , 港股 讯润 啤涨 逾 获 花旗 纳入 四大 投资 主题
__label__1 , 建银国际 香港中旅 年 核心 利润 增长 达 维持 优于 大市
__label__1 , 港股 讯 香港中旅 发 盈喜 股价 涨超
__label__1 , 香港中旅 预期 年 年度 综合 纯利 同比 增加
__label__1 , 罗兵咸 永道 辞任 香港中旅 公司 核数师
__label__1 , 香港中旅 附属 拟斥 万元 设 合资 发展 广西 花山岩画 旅游
__label__1 , 凯顺 能源 携手 香港中旅 举办 电竞 活动 嘉年华
__label__1 , 港股 异动 国庆 黄金周 香港中旅 逆市 涨 逾
__label__1 , 港股 讯 国庆 黄金周 香港中旅 逆市 涨 逾
__label__2 , 看好 十大 港股 高盛 维持 新鸿基地产 买入 评级
__label__1 , 香港中旅 业绩 佳 获 大行 看好 股价 涨
__label__2 , 新华通讯频媒 展开 安排 剔除 香港特别行政区高等法院 传票
__label__2 , 新华通讯频媒 拟 万元 收购 武夷山 中 盛大酒店
__label__1 , 新华通讯频媒 完成 收购 香港 达文 股权
__label__2 , 开元 信德 辞任 新华通讯频媒 核数师 中汇 接任
__label__2 , 新华通讯频媒 收购 香港 达文 股权 事宜 截止 日期 延至 年月日
__label__2 , 新华通讯频媒 完成 收购 四川 泸州 商业物业
__label__3 , 新华通讯频媒 中期 股东 应 占 亏损 扩大 万港元
__label__3 , 吴慈 飞辞任 新华通讯频媒 联席 公司 秘书 授权代表 职务
__label__3 , 新华通讯频媒 预计 中期 亏损 同比 扩大
__label__2 , 新华通讯频媒 斥 万元 收购 四川 泸州 商业物业
__label__2 , 新华通讯频媒 拟 万港元 收购 香港 达文 股权 取得 高西西 部分 剧本 相关 权利
__label__3 , 新华通讯频媒 圣唐 未 如约 偿还 款项 提起 法律 诉讼
__label__3 , 新华通讯频媒 遭 执董 陈铭 减持 万股
__label__2 , 新华通讯频媒 智创 磋商 存放 月 定期存款 资金 证明
__label__3 , 新华通讯频媒 年度 净亏损 同比 扩大 万港元
__label__3 , 新华通讯频媒 预期 年度 业绩 获 重大 亏损
__label__3 , 新华通讯频媒 预计 年度 亏损 持续 扩大
__label__1 , 新华通讯频媒 智创 订立 战略 合作 协议 预计 贡献 收益 亿元
__label__1 , 新华通讯频媒 智创 订立 战略 合作 框架 协议
__label__1 , 新华通讯频媒 智创 订立 合作 框架 协议 估计 贡献 亿元 收益
__label__3 , 港股 讯 原告人 中止 诉讼 新华 通讯 视频 涨 近三成
__label__3 , 新华 通讯 原告人 中止 诉讼 现涨
__label__3 , 一名 股东 中止 新华通讯频媒 董事 提出 诉讼
__label__3 , 新华通讯频媒 中期 净亏损 扩大 万港元
__label__3 , 新华通讯频媒 日 停牌 以待 刊发 接获 原诉 传票 内幕消息
__label__3 , 新华通讯频媒 澄清 股东大会 有效 结束 日复牌
__label__2 , 新华通讯频媒 澄清 据称 股东 周年 大会 续会 有效 举行
__label__2 , 嘉进投资国际 月末 每股 综合 资产 净值 约 港元
__label__3 , 嘉进投资国际 年 业绩 盈转 亏 万港元
__label__2 , 嘉进投资国际 月末 每股 资产 净值 港元
__label__2 , 嘉进投资国际 月末 每股 资产 净值 港元
__label__2 , 嘉进投资国际 月末 每股 综合 资产 净值 约 港元
__label__3 , 嘉进投资国际 预计 年度 业绩 由盈 转亏 万港元
__label__2 , 嘉进投资国际 委任 创富 资本 投资 经理
__label__2 , 嘉进投资国际 月末 每股 资产 净值 约 港元
__label__2 , 嘉进投资国际 月末 每股 综合 资产 净值 约 港元
__label__2 , 嘉进投资国际 月末 每股 资产 净值 港元
__label__3 , 嘉进投资国际 预期 中期 净亏损 扩大 万港元
__label__3 , 嘉进投资国际 料首 月 录得 亏损 约 万港元
__label__1 , 嘉进投资国际 年度 业绩 扭亏为盈 万港元
__label__1 , 嘉进投资国际 年度 扭亏为盈 股东 应 占 溢利 万港元
__label__2 , 嘉进投资国际 预期 年度 业绩 扭亏为盈
__label__2 , 嘉进投资国际 完成 出售 烟台 巨力 精细化工 约 股权
__label__1 , 嘉进投资国际 月末 每股 综合 资产 净值 约 港元
__label__3 , 嘉进投资国际 中期 净亏 收窄 万港元
__label__3 , 嘉进投资国际 上半年 亏损 收窄 万元
__label__1 , 嘉进投资国际 月末 每股 综合 资产 净值 港元
__label__2 , 嘉进投资国际 每股 资产 净值 港元
__label__2 , 嘉进投资国际 每股 综合 资产 净值 约 港元
__label__3 , 嘉进 投资 发盈 警料 去年 亏损 增加
__label__2 , 联泰控股 更换 独立 非 执行 董事
__label__2 , 联泰控股 委任 王 京为 独立 非 执行 董事 代替 张兆基
__label__2 , 联泰控股 年度 股东 应 占 利润 同比 增长 万美元
__label__2 , 联泰控股 获执 董 兼 总裁 陈祖龙 增持 万股
__label__2 , 陈守仁 旗下 旅游 集团 海天地 悦旅 拟 主板 上市
__label__1 , 联泰控股 获执 董 兼 总裁 陈祖龙 增持 万股
__label__2 , 联泰控股 获执 董 兼 总裁 陈祖龙 增持 万股
__label__2 , 联泰控股 逾 亿购 皮具 制造 业务
__label__2 , 联泰控股 斥 万美元 收购 一家 皮具 制造 公司
__label__2 , 联泰控股 拟 出售 纺纱 业务 公司 股权
__label__2 , 联泰控股 年度 归属 公司 所有者 利润 增长 万美元
__label__2 , 联泰控股 年度 纯利 增长 万美元 末期 股息 每股 港仙
__label__1 , 联泰控股 获 执董 陈祖龙 连续 三日 累增 万股
__label__1 , 联泰控股 恢复 公众 持股 量 月 日 恢复 买卖
__label__1 , 联泰控股 中期 净利润 同比 增至 万美元 每股 派息 港仙
__label__2 , 联泰控股 万美元 收购 余下 股权
__label__2 , 联泰控股 斥 万美元 上海 纺织 订立 买卖 协议
__label__1 , 联泰控股 剥离 附属 公司 交易 事项 完成
__label__1 , 联泰控股 拟 每股 派发 港元 剥离 特别 股息 每股
__label__1 , 王勃 上海 纺织 入主 联泰 前景 亮丽
__label__3 , 联泰控股 半年 少 赚 派息 美仙
__label__3 , 阿迪 优衣库 代工厂 联泰 净利 大跌
__label__2 , 中海 旧 郝建民 地产 布阵 岁宝百货 代建 深圳 项目
__label__2 , 岁宝百货 晟 润丰 禾 兴隆 订立 综合 顾问 服务 协议
__label__2 , 岁宝百货 股价 起伏 不断 新零售 风吹 向何方
__label__2 , 岁宝百货 去年 盈利 亿 人民币 派 末期 息港 仙
__label__1 , 岁宝百货 年度 净利润 至多 增
__label__3 , 停牌 前 股价 翻倍 复牌 天 暴跌 近成 这家 老字号
__label__3 , 岁宝百货 收购 富元 两成 股权 复牌 翌日 跌
